bank_id,time,equity,assets,liabilities,reserves,shock_flag,distress_level,default_status,state
B0,0,177.49,696.22,518.72,83.19,0,0.0,0,U
B1,0,55.64,731.32,675.68,41.8,0,0.0,0,U
B2,0,78.27,1290.76,1212.5,42.53,0,0.0,0,U
B3,0,155.75,766.91,611.16,83.73,0,0.0,0,U
B4,0,135.4,1347.61,1212.21,48.4,0,0.0,0,U
B5,0,166.77,1061.3,894.53,21.08,0,0.0,0,U
B6,0,162.49,524.0,361.51,76.98,0,0.0,0,U
B7,0,80.27,562.67,482.4,35.26,0,0.0,0,U
B8,0,185.51,1184.02,998.51,81.12,0,0.0,0,U
B9,0,69.37,688.25,618.87,35.7,0,0.0,0,U
B10,0,108.23,838.31,730.09,77.4,0,0.0,0,U
B11,0,105.53,524.54,419.01,99.67,0,0.0,0,U
B12,0,75.48,1340.48,1265.0,68.78,0,0.0,0,U
B13,0,171.22,793.25,622.03,89.2,0,0.0,0,U
B14,0,142.72,974.72,832.0,90.22,0,0.0,0,U
B15,0,62.36,806.53,744.17,44.64,0,0.0,0,U
B16,0,185.48,827.96,642.48,69.71,0,0.0,0,U
B17,0,63.39,1409.41,1346.01,46.79,0,0.0,0,U
B18,0,105.2,1134.71,1029.51,78.2,0,0.0,0,U
B19,0,53.2,1289.27,1236.08,44.28,0,0.0,0,U
B20,0,118.62,1174.7,1056.08,35.7,0,0.0,0,U
B21,0,151.01,607.02,456.01,31.13,0,0.0,0,U
B22,0,158.59,702.71,544.12,94.57,0,0.0,0,U
B23,0,62.06,716.21,654.15,20.52,0,0.0,0,U
B24,0,199.62,541.9,342.27,96.26,0,0.0,0,U
B25,0,174.45,641.91,467.47,57.48,0,0.0,0,U
B26,0,51.88,1189.38,1137.51,57.39,0,0.0,0,U
B27,0,117.54,1463.11,1345.57,49.04,0,0.0,0,U
B28,0,94.0,1012.65,918.65,99.16,0,0.0,0,U
B29,0,193.1,1254.6,1061.5,66.34,0,0.0,0,U
B30,0,103.2,1017.96,914.76,79.29,0,0.0,0,U
B31,0,144.74,1257.72,1112.98,57.94,0,0.0,0,U
B32,0,100.77,686.53,585.77,57.72,0,0.0,0,U
B33,0,72.15,1325.09,1252.94,98.15,0,0.0,0,U
B34,0,183.72,712.11,528.4,39.22,0,0.0,0,U
B35,0,191.62,917.08,725.46,50.33,0,0.0,0,U
B36,0,74.67,748.33,673.65,55.68,0,0.0,0,U
B37,0,78.73,881.16,802.43,35.13,0,0.0,0,U
B38,0,142.39,1134.09,991.69,45.86,0,0.0,0,U
B39,0,110.67,714.96,604.29,91.57,0,0.0,0,U
B40,0,101.58,885.01,783.43,65.28,0,0.0,0,U
B41,0,92.91,1386.12,1293.22,72.19,0,0.0,0,U
B42,0,151.29,955.76,804.47,68.29,0,0.0,0,U
B43,0,138.81,1464.86,1326.05,70.78,0,0.0,0,U
B44,0,74.97,755.66,680.69,55.12,0,0.0,0,U
B45,0,89.17,1129.97,1040.8,98.08,0,0.0,0,U
B46,0,61.77,572.77,511.0,74.91,0,0.0,0,U
B47,0,151.2,876.16,724.96,74.54,0,0.0,0,U
B48,0,152.06,1074.16,922.1,55.1,0,0.0,0,U
B49,0,55.3,1105.38,1050.08,54.5,0,0.0,0,U
B50,0,161.99,1049.37,887.39,64.02,0,0.0,0,U
B51,0,62.15,670.96,608.8,60.69,0,0.0,0,U
B52,0,95.99,1209.38,1113.39,38.76,0,0.0,0,U
B53,0,141.54,1493.21,1351.66,35.42,0,0.0,0,U
B54,0,172.18,523.64,351.46,52.22,0,0.0,0,U
B55,0,95.9,1158.16,1062.27,72.67,0,0.0,0,U
B56,0,156.98,705.84,548.86,20.32,0,0.0,0,U
B57,0,183.23,1470.79,1287.56,62.28,0,0.0,0,U
B58,0,173.34,1428.78,1255.43,46.68,0,0.0,0,U
B59,0,135.96,909.52,773.56,40.83,0,0.0,0,U
B60,0,101.68,811.24,709.56,30.11,0,0.0,0,U
B61,0,90.02,1240.35,1150.33,29.8,0,0.0,0,U
B62,0,51.88,1014.04,962.15,34.49,0,0.0,0,U
