time,source,target,exposure,interest_rate,maturity
0,B0,B4,12.34,0.0111,180
0,B0,B7,22.91,0.0103,90
0,B0,B18,10.32,0.0398,7
0,B0,B20,10.48,0.0311,180
0,B0,B22,42.05,0.03,180
0,B0,B27,19.06,0.0262,90
0,B0,B31,41.94,0.0133,90
0,B0,B32,31.04,0.0302,180
0,B0,B34,30.91,0.0479,90
0,B0,B52,42.48,0.0256,180
0,B1,B3,26.13,0.0311,14
0,B1,B5,48.07,0.0433,180
0,B1,B16,42.91,0.0466,7
0,B1,B24,15.36,0.034,90
0,B1,B36,44.67,0.0322,14
0,B1,B43,18.52,0.0277,7
0,B1,B45,15.72,0.0229,90
0,B1,B56,41.58,0.0174,30
0,B2,B4,45.83,0.0487,14
0,B2,B7,11.21,0.0276,14
0,B2,B15,21.59,0.0438,180
0,B2,B16,29.03,0.0218,30
0,B2,B18,21.04,0.0151,7
0,B2,B25,42.4,0.0304,180
0,B2,B28,42.99,0.0353,7
0,B2,B32,23.85,0.017,180
0,B2,B40,19.61,0.0489,30
0,B2,B49,32.96,0.0289,7
0,B2,B56,45.44,0.042,14
0,B2,B64,6.37,0.0407,90
0,B2,B65,14.97,0.0383,30
0,B3,B4,19.12,0.018,180
0,B3,B18,13.65,0.0156,14
0,B3,B23,20.39,0.0347,30
0,B3,B24,28.41,0.029,90
0,B3,B39,27.88,0.0427,7
0,B3,B60,18.88,0.0367,90
0,B3,B63,15.74,0.0354,90
0,B4,B1,18.55,0.0207,90
0,B4,B6,11.41,0.0154,7
0,B4,B12,32.89,0.037,14
0,B4,B33,40.74,0.0324,7
0,B4,B37,26.12,0.0278,14
0,B4,B41,25.53,0.0314,180
0,B4,B48,22.67,0.0177,14
0,B4,B50,25.83,0.0175,180
0,B4,B59,8.12,0.0395,14
0,B4,B62,18.12,0.0273,180
0,B4,B65,24.55,0.0211,7
0,B4,B66,14.49,0.0123,7
0,B5,B2,31.35,0.0439,30
0,B5,B4,43.8,0.0426,14
0,B5,B9,27.27,0.0112,14
0,B5,B24,41.45,0.0358,90
0,B5,B31,6.55,0.0468,90
0,B5,B33,32.0,0.0248,90
0,B5,B36,25.19,0.0322,14
0,B5,B45,39.22,0.0437,90
0,B5,B47,10.1,0.0152,180
0,B5,B57,37.32,0.0235,180
0,B5,B58,16.1,0.0483,7
